"","X","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","SizeSel_1P_1_Fishery_om","SizeSel_1P_2_Fishery_om","SizeSel_1P_3_Fishery_om","SizeSel_1P_4_Fishery_om","SizeSel_1P_5_Fishery_om","SizeSel_1P_6_Fishery_om","SizeSel_2P_1_Survey_om","SizeSel_2P_2_Survey_om","SizeSel_2P_3_Survey_om","SizeSel_2P_4_Survey_om","SizeSel_2P_5_Survey_om","SizeSel_2P_6_Survey_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","SizeSel_1P_1_Fishery_em","SizeSel_1P_2_Fishery_em","SizeSel_1P_3_Fishery_em","SizeSel_1P_4_Fishery_em","SizeSel_1P_5_Fishery_em","SizeSel_1P_6_Fishery_em","SizeSel_2P_1_Survey_em","SizeSel_2P_2_Survey_em","SizeSel_2P_3_Survey_em","SizeSel_2P_4_Survey_em","SizeSel_2P_5_Survey_em","SizeSel_2P_6_Survey_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","B","D","E","F","I","species","max_grad","version","RunTime","hessian","ID","SSB_MSY_re","TotYield_MSY_re","SSB_Unfished_re","depletion_re","params_on_bound_re","NatM_p_1_Fem_GP_1_re","L_at_Amin_Fem_GP_1_re","L_at_Amax_Fem_GP_1_re","VonBert_K_Fem_GP_1_re","CV_young_Fem_GP_1_re","CV_old_Fem_GP_1_re","Wtlen_1_Fem_re","Wtlen_2_Fem_re","Mat50._Fem_re","Mat_slope_Fem_re","Eggs.kg_inter_Fem_re","Eggs.kg_slope_wt_Fem_re","RecrDist_GP_1_re","RecrDist_Area_1_re","RecrDist_Seas_1_re","CohortGrowDev_re","SR_LN_R0_re","SR_BH_steep_re","SR_sigmaR_re","SR_envlink_re","SR_R1_offset_re","SR_autocorr_re","InitF_1Fishery_re","LnQ_base_1_Fishery_re","LnQ_base_2_Survey_re","LnQ_base_3_CPUE_re","SizeSel_1P_1_Fishery_re","SizeSel_1P_2_Fishery_re","SizeSel_1P_3_Fishery_re","SizeSel_1P_4_Fishery_re","SizeSel_1P_5_Fishery_re","SizeSel_1P_6_Fishery_re","SizeSel_2P_1_Survey_re","SizeSel_2P_2_Survey_re","SizeSel_2P_3_Survey_re","SizeSel_2P_4_Survey_re","SizeSel_2P_5_Survey_re","SizeSel_2P_6_Survey_re","Catch_endyear_re"
"11",11,1417700000,164180000,4084110000,0.394585356417922,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,121424000,783.41,0.0071253,0,-41.8454,NA,NA,308.6,515.235,NA,NA,NA,NA,NA,1.16374,0,0,0,0,0,1571480000,181871000,4523970000,0.356969652760739,0,0.2,19.6997,132.493,0.200593,0.0996295,0.110619,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7874,0.65,0.4,0,0,0,0,0,-0.00672412,0,50.3902,-3,5.04734,15,-999,-999,41.0909,-4,5.07375,14,-99,99,121424000,1846.71,6.83553e-13,0,-113.702,NA,NA,1673.55,355.92,NA,NA,NA,NA,NA,-69.1603,0,0.0980146,0.00196029,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D100-E0-F1-I0-cos",11,"B1","D100","E0","F1","I0","cos",0.0211119,"#V3.24O",0.35,FALSE,"B1-D100-E0-F1-I0-cos-11",0.108471467870494,0.1077536849799,0.107700331283927,-0.0953297000138611,NA,0,-0.015015,0.00373484848484845,0.00296499999999991,-0.0037050000000001,0.10619,0,0,0,0,0,NA,NA,NA,NA,0,0.00467379679144398,0,0,NA,NA,NA,NA,NA,-Inf,NA,-0.00806692913385821,0,-0.0103254901960783,0,0,0,-0.0169641148325359,0,-0.0242788461538461,0,0,0,0
"12",12,1417700000,164180000,4084110000,0.399822727595486,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,122607000,785.156,0.00710616,0,-41.8454,NA,NA,309.505,516.398,NA,NA,NA,NA,NA,0.841198,0,0,0,0,0,1565140000,183235000,4511690000,0.371240045304531,0,0.2,19.7333,129.909,0.205933,0.0981613,0.118762,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.8134,0.65,0.4,0,0,0,0,0,-0.028437,0,50.5895,-3,5.08838,15,-999,-999,40.6045,-4,4.9933,14,-99,99,122607000,1879.7,5.2941e-13,0,-111.069,NA,NA,1724.99,335.625,NA,NA,NA,NA,NA,-69.9396,0,0.0988711,0.00197742,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D100-E0-F1-I0-cos",12,"B1","D100","E0","F1","I0","cos",0.103691,"#V3.24O",0.35,FALSE,"B1-D100-E0-F1-I0-cos-12",0.103999435705721,0.116061639663784,0.104693556246036,-0.0714883880234869,NA,0,-0.013335,-0.0158409090909092,0.029665,-0.018387,0.18762,0,0,0,0,0,NA,NA,NA,NA,0,0.00606417112299477,0,0,NA,NA,NA,NA,NA,-Inf,NA,-0.0041437007874015,0,-0.00227843137254897,0,0,0,-0.0286004784688994,0,-0.0397500000000001,0,0,0,0
"13",13,1417700000,164180000,4084110000,0.392592266124076,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,120481000,783.411,0.00710836,0,-41.8454,NA,NA,308.937,515.455,NA,NA,NA,NA,NA,0.606739,0,0,0,0,0,1572350000,181792000,4526570000,0.361264710365685,0,0.2,19.7704,132.146,0.200032,0.100936,0.107591,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7988,0.65,0.4,0,0,0,0,0,-0.0246899,0,50.2485,-3,5.05357,15,-999,-999,39.4303,-4,4.77451,14,-99,99,120481000,1781.35,5.72709e-13,0,-112.789,NA,NA,1621.13,342.93,NA,NA,NA,NA,NA,-70.0209,0,0.102703,0.00205406,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D100-E0-F1-I0-cos",13,"B1","D100","E0","F1","I0","cos",0.00255397,"#V3.24O",0.316666666666667,FALSE,"B1-D100-E0-F1-I0-cos-13",0.109085137899415,0.107272505786332,0.108336944891298,-0.0797966706468184,NA,0,-0.0114800000000001,0.0011060606060605,0.000159999999999882,0.00935999999999992,0.07591,0,0,0,0,0,NA,NA,NA,NA,0,0.00528342245989308,0,0,NA,NA,NA,NA,NA,-Inf,NA,-0.0108562992125984,0,-0.00910392156862745,0,0,0,-0.0566913875598085,0,-0.081825,0,0,0,0
"14",14,1417700000,164180000,4084110000,0.395956524187644,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,121693000,783.846,0.00714008,0,-41.8454,NA,NA,309.004,515.621,NA,NA,NA,NA,NA,0.808699,0,0,0,0,0,1564350000,179993000,4501350000,0.366065735834805,0,0.2,20.0962,132.832,0.197127,0.0992252,0.112608,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7874,0.65,0.4,0,0,0,0,0,-0.0189109,0,49.9378,-3,5.00029,15,-999,-999,45.7339,-4,6.07362,14,-99,99,121693000,1866.77,6.36355e-13,0,-112.76,NA,NA,1684.18,365.425,NA,NA,NA,NA,NA,-70.1664,0,0.0876855,0.00175371,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D100-E0-F1-I0-cos",14,"B1","D100","E0","F1","I0","cos",0.0242887,"#V3.24O",0.316666666666667,FALSE,"B1-D100-E0-F1-I0-cos-14",0.103442195104747,0.0963150200998904,0.102161792899799,-0.0754900766294072,NA,0,0.00480999999999998,0.00630303030303025,-0.0143650000000001,-0.00774800000000006,0.12608,0,0,0,0,0,NA,NA,NA,NA,0,0.00467379679144398,0,0,NA,NA,NA,NA,NA,-Inf,NA,-0.0169724409448818,0,-0.0195509803921569,0,0,0,0.0941124401913876,0,0.168003846153846,0,0,0,0
"15",15,1417700000,164180000,4084110000,0.39827036979905,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,121927000,785.289,0.00707569,0,-41.8454,NA,NA,309.457,516.744,NA,NA,NA,NA,NA,0.676384,0,0,0,0,0,1575070000,181920000,4536900000,0.358213758293108,0,0.2,20.2313,132.795,0.195486,0.0994551,0.106649,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.8054,0.65,0.4,0,0,0,0,0,0.00123138,0,51.9566,-3,5.21807,15,-999,-999,49.0756,-4,6.96634,14,-99,99,121927000,1847.21,7.75258e-13,0,-107.602,NA,NA,1627.54,396.817,NA,NA,NA,NA,NA,-69.6269,0,0.0774499,0.001549,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D100-E0-F1-I0-cos",15,"B1","D100","E0","F1","I0","cos",0.00761283,"#V3.24O",0.3,FALSE,"B1-D100-E0-F1-I0-cos-15",0.111003738449601,0.10805213789743,0.110866259723661,-0.100576428836905,NA,0,0.011565,0.00602272727272718,-0.0225700000000001,-0.00544900000000001,0.0664899999999999,0,0,0,0,0,NA,NA,NA,NA,0,0.00563636363636361,0,0,NA,NA,NA,NA,NA,Inf,NA,0.0227677165354332,0,0.0231509803921569,0,0,0,0.174057416267943,0,0.339680769230769,0,0,0,0
"16",16,1417700000,164180000,4084110000,0.384360362477994,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,117851000,781.096,0.00714359,0,-41.8454,NA,NA,307.98,513.895,NA,NA,NA,NA,NA,0.809811,0,0,0,0,0,1544510000,181752000,4449230000,0.357785504458075,0,0.2,18.8889,130.701,0.208018,0.103675,0.114842,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7691,0.65,0.4,0,0,0,0,0,-0.00861641,0,54.8871,-3,5.65591,15,-999,-999,30.0041,-4,0.879554,14,-99,99,117851000,331.57,6.69396e-13,0,-112.908,NA,NA,142.092,371.873,NA,NA,NA,NA,NA,-69.6362,0,0.145912,0.00291825,0,0,NA,NA,NA,NA,NA,NA,NA,"B2-D100-E0-F1-I0-cos",1,"B2","D100","E0","F1","I0","cos",0.00120802,"#V3.24O",0.316666666666667,FALSE,"B2-D100-E0-F1-I0-cos-1",0.0894476969739719,0.107028870751614,0.0894001385858853,-0.0691404749662252,NA,0,-0.055555,-0.00984090909090914,0.04009,0.03675,0.14842,0,0,0,0,0,NA,NA,NA,NA,0,0.00369518716577553,0,0,NA,NA,NA,NA,NA,-Inf,NA,0.0804547244094488,0,0.109001960784314,0,0,0,-0.282198564593301,0,-0.830855,0,0,0,0
"17",17,1417700000,164180000,4084110000,0.386742766477886,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,118674000,782.318,0.00709695,0,-41.8454,NA,NA,308.664,514.399,NA,NA,NA,NA,NA,0.843262,0,0,0,0,0,4426580000,0,4426580000,NA,0,0.2,25.0774,132,0.212641,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6654,0.65,0.4,0,0,0,0,0,0,0,49.4012,-3,5.09992,15,-999,-999,29.989,-4,5.2,14,-99,99,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.9209,0,0.132861,0.00265723,0,0,NA,NA,NA,NA,NA,NA,NA,"B2-D100-E0-F1-I0-cos",2,"B2","D100","E0","F1","I0","cos",0,"#V3.24O",0.15,FALSE,"B2-D100-E0-F1-I0-cos-2",2.12236721450236,-1,0.083854254660134,NA,NA,0,0.25387,0,0.0632049999999999,0,0,0,0,0,0,0,NA,NA,NA,NA,0,-0.00185026737967901,0,0,NA,NA,NA,NA,NA,NA,NA,-0.027535433070866,0,-1.56862745097325e-05,0,0,0,-0.28255980861244,0,0,0,0,0,NA
"18",18,1417700000,164180000,4084110000,0.396306661671698,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,121516000,783.998,0.00713939,0,-41.8454,NA,NA,309.046,515.952,NA,NA,NA,NA,NA,0.588077,0,0,0,0,0,1558700000,180304000,4490750000,0.36013138117241,0,0.2,20.1586,133.609,0.194625,0.080868,0.101525,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7761,0.65,0.4,0,0,0,0,0,-0.00933598,0,55.192,-3,5.66092,15,-999,-999,29.9997,-4,-3.69457,14,-99,99,121516000,319.229,6.04197e-13,0,-109.069,NA,NA,146.92,351.093,NA,NA,NA,NA,NA,-69.9959,0,0.27542,0.0055084,0,0,NA,NA,NA,NA,NA,NA,NA,"B2-D100-E0-F1-I0-cos",3,"B2","D100","E0","F1","I0","cos",0.0221309,"#V3.24O",0.283333333333333,FALSE,"B2-D100-E0-F1-I0-cos-3",0.0994568667560133,0.0982092824948228,0.0995663681928254,-0.0912810305703509,NA,0,0.00792999999999999,0.012189393939394,-0.0268750000000001,-0.19132,0.01525,0,0,0,0,0,NA,NA,NA,NA,0,0.00406951871657756,0,0,NA,NA,NA,NA,NA,-Inf,NA,0.0864566929133859,0,0.10998431372549,0,0,0,-0.282303827751196,0,-1.71049423076923,0,0,0,0
"19",19,1417700000,164180000,4084110000,0.388393064829302,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,119226000,785.042,0.00709728,0,-41.8454,NA,NA,309.373,516.522,NA,NA,NA,NA,NA,0.735483,0,0,0,0,0,1514050000,180997000,4397220000,0.344610913258832,1,0.2,10,129.242,0.234578,0.0160672,0.114502,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7701,0.65,0.4,0,0,0,0,0,0.00206544,0,54.8206,-3,5.65782,15,-999,-999,29.9997,-4,-3.58581,14,-99,99,119226000,319.344,7.46077e-13,0,-107.458,NA,NA,140.741,355.019,NA,NA,NA,NA,NA,-69.2233,0,0.260827,0.00521655,0,0,NA,NA,NA,NA,NA,NA,NA,"B2-D100-E0-F1-I0-cos",4,"B2","D100","E0","F1","I0","cos",0.0042052,"#V3.24O",0.383333333333333,FALSE,"B2-D100-E0-F1-I0-cos-4",0.0679621922832757,0.102430259471312,0.0766654179245907,-0.112726398937407,Inf,0,-0.5,-0.0208939393939395,0.17289,-0.839328,0.14502,0,0,0,0,0,NA,NA,NA,NA,0,0.00374866310160428,0,0,NA,NA,NA,NA,NA,Inf,NA,0.0791456692913386,0,0.109376470588235,0,0,0,-0.282303827751196,0,-1.68957884615385,0,0,0,0
"20",20,1417700000,164180000,4084110000,0.389034575464422,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,119571000,784.97,0.00712969,0,-41.8454,NA,NA,309.333,516.475,NA,NA,NA,NA,NA,0.750332,0,0,0,0,0,4520830000,0,4520830000,NA,0,0.2,27.1956,132,0.191106,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7621,0.65,0.4,0,0,0,0,0,0,0,49.3719,-3,5.1,15,-999,-999,29.9441,-4,5.2,14,-99,99,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.9209,0,0.133116,0.00266231,0,0,NA,NA,NA,NA,NA,NA,NA,"B2-D100-E0-F1-I0-cos",5,"B2","D100","E0","F1","I0","cos",0,"#V3.24O",0.05,FALSE,"B2-D100-E0-F1-I0-cos-5",2.18884813430204,-1,0.106931497927333,NA,NA,0,0.35978,0,-0.0444700000000001,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0.00332085561497331,0,0,NA,NA,NA,NA,NA,NA,NA,-0.0281122047244095,0,0,0,0,0,-0.283633971291866,0,0,0,0,0,NA
"21",21,1417700000,164180000,4084110000,0.397538264150574,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,121999000,785.648,0.00714192,0,-41.8454,NA,NA,309.453,516.984,NA,NA,NA,NA,NA,0.799396,0,0,0,0,0,4432220000,0,4432220000,NA,0,0.2,26.0404,132,0.199217,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7157,0.65,0.4,0,0,0,0,0,0,0,51.8493,-3,5.1,15,-999,-999,29.9915,-4,5.2,14,-99,99,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.9209,0,0.129464,0.00258928,0,0,NA,NA,NA,NA,NA,NA,NA,"B2-D100-E0-F1-I0-cos",6,"B2","D100","E0","F1","I0","cos",0,"#V3.24O",0.166666666666667,FALSE,"B2-D100-E0-F1-I0-cos-6",2.1263454891726,-1,0.0852352164853542,NA,NA,0,0.30202,0,-0.00391500000000003,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0.000839572192513312,0,0,NA,NA,NA,NA,NA,NA,NA,0.0206555118110237,0,0,0,0,0,-0.2825,0,0,0,0,0,NA
"22",22,1417700000,164180000,4084110000,0.377641640406355,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,115828000,780.478,0.00713275,0,-41.8454,NA,NA,308.102,513.325,NA,NA,NA,NA,NA,0.638528,0,0,0,0,0,4387220000,0,4387220000,NA,0,0.2,26.5305,132,0.206817,0.0997149,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.6684,0.65,0.4,0,0,0,0,0,0,0,51.4693,-3,5.14096,15,-999,-999,30.011,-4,5.19989,14,-99,99,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-70.9138,0,0.129755,0.00259511,0,0,NA,NA,NA,NA,NA,NA,NA,"B2-D100-E0-F1-I0-cos",7,"B2","D100","E0","F1","I0","cos",0,"#V3.24O",0.15,FALSE,"B2-D100-E0-F1-I0-cos-7",2.0946039359526,-1,0.0742169040500868,NA,NA,0,0.326525,0,0.0340849999999999,-0.0028510000000001,0,0,0,0,0,0,NA,NA,NA,NA,0,-0.00168983957219256,0,0,NA,NA,NA,NA,NA,NA,NA,0.0131751968503937,0,0.00803137254901963,0,0,0,-0.282033492822966,0,-2.11538461538993e-05,0,0,0,NA
"23",23,1417700000,164180000,4084110000,0.394364990169217,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,120908000,785.044,0.00710915,0,-41.8454,NA,NA,309.377,516.402,NA,NA,NA,NA,NA,0.852599,0,0,0,0,0,1495830000,181757000,4332850000,0.36641702343723,0,0.2,14.567,125.522,0.235624,0.053168,0.140841,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7821,0.65,0.4,0,0,0,0,0,-0.00230663,0,55.0448,-3,5.64606,15,-999,-999,29.9998,-4,-3.58156,14,-99,99,120908000,313.698,7.90822e-13,0,-112.298,NA,NA,140.702,355.033,NA,NA,NA,NA,NA,-70.0045,0,0.260091,0.00520183,0,0,NA,NA,NA,NA,NA,NA,NA,"B2-D100-E0-F1-I0-cos",8,"B2","D100","E0","F1","I0","cos",1.44926,"#V3.24O",0.283333333333333,FALSE,"B2-D100-E0-F1-I0-cos-8",0.0551103900684207,0.107059325130954,0.0609043341144093,-0.0708682754014115,NA,0,-0.27165,-0.0490757575757575,0.17812,-0.46832,0.40841,0,0,0,0,0,NA,NA,NA,NA,0,0.00439037433155083,0,0,NA,NA,NA,NA,NA,-Inf,NA,0.0835590551181103,0,0.107070588235294,0,0,0,-0.282301435406698,0,-1.68876153846154,0,0,0,0
"24",24,1417700000,164180000,4084110000,0.391424325005938,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,120079000,784.302,0.0071347,0,-41.8454,NA,NA,309.016,516.114,NA,NA,NA,NA,NA,0.760995,0,0,0,0,0,1509750000,178425000,4348740000,0.382628071579354,0,0.2,19.8525,128.683,0.213298,0.119822,0.115722,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7556,0.65,0.4,0,0,0,0,0,-0.0223698,0,49.8772,-3,5.17786,15,-999,-999,29.9997,-4,-3.6732,14,-99,99,120079000,292.675,5.42529e-13,0,-109.567,NA,NA,160.289,311.018,NA,NA,NA,NA,NA,-69.3509,0,0.280249,0.00560498,0,0,NA,NA,NA,NA,NA,NA,NA,"B2-D100-E0-F1-I0-cos",9,"B2","D100","E0","F1","I0","cos",0.00588459,"#V3.24O",0.316666666666667,FALSE,"B2-D100-E0-F1-I0-cos-9",0.064929110531142,0.0867645267389451,0.0647950226609959,-0.0224724240795472,NA,0,-0.00737500000000004,-0.0251287878787879,0.0664899999999999,0.19822,0.15722,0,0,0,0,0,NA,NA,NA,NA,0,0.00297326203208566,0,0,NA,NA,NA,NA,NA,-Inf,NA,-0.0181653543307086,0,0.0152666666666667,0,0,0,-0.282303827751196,0,-1.70638461538462,0,0,0,0
"25",25,1417700000,164180000,4084110000,0.386823567435745,0,0.2,20,132,0.2,0.1,0.1,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7,0.65,0.4,0,0,0,0,0,0,0,50.8,-3,5.1,15,-999,-999,41.8,-4,5.2,14,-99,99,118767000,782.015,0.00712031,0,-41.8454,NA,NA,308.469,514.384,NA,NA,NA,NA,NA,0.750721,0,0,0,0,0,4509290000,0,4509290000,NA,1,0.2,20.6736,133.596,0.192472,0.102356,0.107374,6.8e-06,3.101,38.18,-0.276,1,0,0,0,0,1,18.7802,0.65,0.4,0,0,0,0,0,-0.0584419,0,52.1089,-3,5.41345,15,-999,-999,29.9998,-4,-3.99854,14,-99,99,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-68.6568,0,0.543253,0.0108651,0,0,NA,NA,NA,NA,NA,NA,NA,"B2-D100-E0-F1-I0-cos",10,"B2","D100","E0","F1","I0","cos",71248.8,"#V3.24O",0.3,FALSE,"B2-D100-E0-F1-I0-cos-10",2.18070818932073,-1,0.104105912916156,NA,Inf,0,0.03368,0.0120909090909091,-0.03764,0.02356,0.0737399999999999,0,0,0,0,0,NA,NA,NA,NA,0,0.00428877005347601,0,0,NA,NA,NA,NA,NA,-Inf,NA,0.0257657480314961,0,0.0614607843137256,0,0,0,-0.282301435406698,0,-1.76895,0,0,0,NA
