"","SSB_MSY_om","TotYield_MSY_om","SSB_Unfished_om","depletion_om","params_on_bound_om","NatM_p_1_Fem_GP_1_om","L_at_Amin_Fem_GP_1_om","L_at_Amax_Fem_GP_1_om","VonBert_K_Fem_GP_1_om","CV_young_Fem_GP_1_om","CV_old_Fem_GP_1_om","Wtlen_1_Fem_om","Wtlen_2_Fem_om","Mat50._Fem_om","Mat_slope_Fem_om","Eggs.kg_inter_Fem_om","Eggs.kg_slope_wt_Fem_om","RecrDist_GP_1_om","RecrDist_Area_1_om","RecrDist_Seas_1_om","CohortGrowDev_om","NatM_p_1_Fem_GP_1_ENV_add_om","SR_LN_R0_om","SR_BH_steep_om","SR_sigmaR_om","SR_envlink_om","SR_R1_offset_om","SR_autocorr_om","InitF_1Fishery_om","LnQ_base_1_Fishery_om","LnQ_base_2_Survey_om","LnQ_base_3_CPUE_om","SizeSel_1P_1_Fishery_om","SizeSel_1P_2_Fishery_om","SizeSel_2P_1_Survey_om","SizeSel_2P_2_Survey_om","Catch_endyear_om","NLL_TOTAL_om","NLL_Catch_om","NLL_Equil_catch_om","NLL_Survey_om","NLL_Discard_om","NLL_Mean_body_wt_om","NLL_Length_comp_om","NLL_Age_comp_om","NLL_Size_at_age_om","NLL_SizeFreq_om","NLL_Morphcomp_om","NLL_Tag_comp_om","NLL_Tag_negbin_om","NLL_Recruitment_om","NLL_Forecast_Recruitment_om","NLL_Parm_priors_om","NLL_Parm_softbounds_om","NLL_Parm_devs_om","NLL_Crash_Pen_om","SSB_MSY_em","TotYield_MSY_em","SSB_Unfished_em","depletion_em","params_on_bound_em","NatM_p_1_Fem_GP_1_em","L_at_Amin_Fem_GP_1_em","L_at_Amax_Fem_GP_1_em","VonBert_K_Fem_GP_1_em","CV_young_Fem_GP_1_em","CV_old_Fem_GP_1_em","Wtlen_1_Fem_em","Wtlen_2_Fem_em","Mat50._Fem_em","Mat_slope_Fem_em","Eggs.kg_inter_Fem_em","Eggs.kg_slope_wt_Fem_em","RecrDist_GP_1_em","RecrDist_Area_1_em","RecrDist_Seas_1_em","CohortGrowDev_em","SR_LN_R0_em","SR_BH_steep_em","SR_sigmaR_em","SR_envlink_em","SR_R1_offset_em","SR_autocorr_em","InitF_1Fishery_em","LnQ_base_1_Fishery_em","LnQ_base_2_Survey_em","LnQ_base_3_CPUE_em","SizeSel_1P_1_Fishery_em","SizeSel_1P_2_Fishery_em","SizeSel_2P_1_Survey_em","SizeSel_2P_2_Survey_em","Catch_endyear_em","NLL_TOTAL_em","NLL_Catch_em","NLL_Equil_catch_em","NLL_Survey_em","NLL_Discard_em","NLL_Mean_body_wt_em","NLL_Length_comp_em","NLL_Age_comp_em","NLL_Size_at_age_em","NLL_SizeFreq_em","NLL_Morphcomp_em","NLL_Tag_comp_em","NLL_Tag_negbin_em","NLL_Recruitment_em","NLL_Forecast_Recruitment_em","NLL_Parm_priors_em","NLL_Parm_softbounds_em","NLL_Parm_devs_em","NLL_Crash_Pen_em","bias1","bias2","bias3","bias4","bias5","bias.converged","bias.tried","scenario","replicate","B","D","E","F","M","R","species","max_grad","version","RunTime","hessian","ID"
"1",24113.9,6933.28,89074.5,0.389253939118378,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,28.9,-0.42,1,0,0,0,0,1,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,28.9,7,23.12,7,4207.22,-183.726,1.29094e-07,0,-252.573,NA,NA,0.492242,0.0118305,NA,NA,NA,NA,NA,68.0929,0,0,0,0,0,23125.1,6445.65,85512.6,0.397091188900817,0,0.2,14.5348,48.8824,0.319139,0.186695,0.17647,1e-05,3,28.9,-0.42,1,0,0,0,0,1,10.4063,0.760619,0.7,0,0,0,0,0,-0.0404414,0,29.5243,6.43789,22.1105,5.69202,4207.22,507.727,4.094e-12,0,-10.0038,NA,NA,319.604,205.941,NA,NA,NA,NA,NA,-7.81463,0,0,0.000135093,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D2-E0-F0-M0-R0-fla",1,"B1","D2","E0","F0","M0","R0","fla",8.77161e-05,"#V3.24O",0.583333333333333,FALSE,"B1-D2-E0-F0-M0-R0-fla-1"
"2",24113.9,6933.28,89074.5,0.389253939118378,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,28.9,-0.42,1,0,0,0,0,1,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,28.9,7,23.12,7,4207.22,-184.205,1.29094e-07,0,-252.573,NA,NA,0.0134153,0.0118305,NA,NA,NA,NA,NA,68.0929,0,0,0,0,0,24757.4,6761.93,90384.4,0.402209894627834,0,0.2,12.4865,47.355,0.408483,0.112197,0.183425,1e-05,3,28.9,-0.42,1,0,0,0,0,1,10.4436,0.760619,0.7,0,0,0,0,0,-0.0689957,0,27.9384,2.82696,23.2107,5.25666,4207.22,263.266,3.05322e-12,0,-10.1371,NA,NA,48.7814,230.644,NA,NA,NA,NA,NA,-6.02263,0,0,0.000633623,0,0,NA,NA,NA,NA,NA,NA,NA,"B2-D2-E0-F0-M0-R0-fla",1,"B2","D2","E0","F0","M0","R0","fla",9.31068e-05,"#V3.24O",0.7,FALSE,"B2-D2-E0-F0-M0-R0-fla-1"
"3",24113.9,6933.28,89074.5,0.389253939118378,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,28.9,-0.42,1,0,0,0,0,1,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,28.9,7,23.12,7,4207.22,-183.726,1.29094e-07,0,-252.573,NA,NA,0.492242,0.0118305,NA,NA,NA,NA,NA,68.0929,0,0,0,0,0,23698.3,6481.9,88109.5,0.363272972834938,0,0.2,12.2392,50.1946,0.274542,0.238157,0.175179,1e-05,3,28.9,-0.42,1,0,0,0,0,1,10.4923,0.760619,0.7,0,0,0,0,0,-0.0318573,0,28.9731,6.0823,21.8511,6.53901,4207.22,428.532,4.21141e-12,0,-10.1283,NA,NA,278.352,170.163,NA,NA,NA,NA,NA,-9.85457,0,0,0.000103905,0,0,NA,NA,NA,NA,NA,NA,NA,"B1-D3-E0-F0-M0-R0-fla",1,"B1","D3","E0","F0","M0","R0","fla",6.41563e-05,"#V3.24O",0.516666666666667,FALSE,"B1-D3-E0-F0-M0-R0-fla-1"
"4",24113.9,6933.28,89074.5,0.389253939118378,0,0.2,12.6666,47.4245,0.347769,0.2,0.2,1e-05,3,28.9,-0.42,1,0,0,0,0,1,1,10.4934,0.760619,0.7,0,0,0,0,0,0,0,28.9,7,23.12,7,4207.22,-184.205,1.29094e-07,0,-252.573,NA,NA,0.0134153,0.0118305,NA,NA,NA,NA,NA,68.0929,0,0,0,0,0,21633.5,7849.3,78920.5,0.491167694071882,1,0.2,2.6519,42.037,0.698833,0.0100012,0.239016,1e-05,3,28.9,-0.42,1,0,0,0,0,1,10.4586,0.760619,0.7,0,0,0,0,0,-0.237315,0,32.9105,14.0735,21.7298,0.596972,4207.22,220.2,3.75818e-12,0,-9.95803,NA,NA,36.3513,203.598,NA,NA,NA,NA,NA,-9.79516,0,0,0.00362224,0,0,NA,NA,NA,NA,NA,NA,NA,"B2-D3-E0-F0-M0-R0-fla",1,"B2","D3","E0","F0","M0","R0","fla",4.22323e-05,"#V3.24O",0.866666666666667,FALSE,"B2-D3-E0-F0-M0-R0-fla-1"
