"species","data","variable","B0","B1","B11","B12","B13","B14","B2","B3","B4"
"yellow-long","Rich:C+L","CV_old",-0.001,-0.001,-0.007,-0.043,-0.356,-0.836,-0.001,-0.026,-0.107
"yellow-long","Rich:C+L","CV_young",-0.006,-0.026,-0.083,-0.399,-0.344,0.972,-0.09,-0.148,0.016
"yellow-long","Rich:C+L","L_at_Amax",0,0.001,0.003,0.019,0.063,0.234,0.004,0.004,0.031
"yellow-long","Rich:C+L","L_at_Amin",0.003,0.014,0.049,0.19,0.116,-0.266,0.053,0.098,0.088
"yellow-long","Rich:C+L","VonBert_K",0.001,-0.002,0.005,0.01,0.058,-0.251,-0.017,-0.021,-0.049
"yellow-long","Poor:A+L","CV_old",-0.058,-0.049,-0.049,-0.076,-0.021,0.058,-0.073,-0.058,-0.111
"yellow-long","Poor:A+L","CV_young",0.295,0.304,0.308,0.165,0.023,1.451,0.219,0.381,0.508
"yellow-long","Poor:A+L","L_at_Amax",-0.028,-0.022,-0.025,-0.002,-0.029,-0.079,0.003,-0.026,-0.103
"yellow-long","Poor:A+L","L_at_Amin",-0.08,-0.066,-0.075,-0.115,-0.281,-0.524,-0.077,-0.11,-0.184
"yellow-long","Poor:A+L","VonBert_K",0.1,0.079,0.086,0.054,0.201,0.055,0.027,0.081,0.317
"yellow-long","Poor:C+L","CV_old",-0.008,-0.004,-0.005,-0.049,-0.36,-0.746,0,0,-0.17
"yellow-long","Poor:C+L","CV_young",-0.032,-0.051,-0.112,-0.419,-0.33,1.044,-0.124,-0.2,-0.047
"yellow-long","Poor:C+L","L_at_Amax",-0.002,-0.002,0.001,0.015,0.068,0.241,0.001,0.005,-0.002
"yellow-long","Poor:C+L","L_at_Amin",0.014,0.021,0.059,0.193,0.08,-0.347,0.06,0.113,0.076
"yellow-long","Poor:C+L","VonBert_K",0.008,-0.001,0.008,0.011,0.042,-0.242,-0.009,-0.032,0.023
