"","species","data","variable","binmatch","1","2","5","10","20"
"75","flatfish","Rich:C+L","depletion","Match",12.1,12.5,12.6,13.6,13
"76","flatfish","Rich:C+L","depletion","No Match",NA,12.4,12.5,17.5,37.8
"77","flatfish","Rich:C+L","L_at_Amax","Match",0.5,0.5,0.6,0.6,2.9
"78","flatfish","Rich:C+L","L_at_Amax","No Match",NA,0.5,2.4,5.9,20.4
"79","flatfish","Rich:C+L","L_at_Amin","Match",1.5,1.7,2.9,6.4,9.1
"80","flatfish","Rich:C+L","L_at_Amin","No Match",NA,2.3,10.2,8.5,35
"81","flatfish","Rich:C+L","SSB_MSY","Match",8.4,8.1,8,8.6,12.8
"82","flatfish","Rich:C+L","SSB_MSY","No Match",NA,7.7,10.8,22.6,37.3
"83","flatfish","Rich:C+L","VonBert_K","Match",1.6,1.7,1.9,2.2,4.5
"84","flatfish","Rich:C+L","VonBert_K","No Match",NA,2.4,5.3,13.1,19.3
"85","flatfish","Poor:A+L","CV_old","Match",21.5,23.6,22.4,25.1,23.5
"86","flatfish","Poor:A+L","CV_old","No Match",NA,22.4,22.1,22.1,33.3
"87","flatfish","Poor:A+L","CV_young","Match",40.7,42.4,39.7,46.5,45.4
"88","flatfish","Poor:A+L","CV_young","No Match",NA,41.3,41.6,41.9,47.5
"89","flatfish","Poor:A+L","depletion","Match",25.8,27.7,23.9,26.9,27.3
"90","flatfish","Poor:A+L","depletion","No Match",NA,27.6,24.6,24.6,35.3
"91","flatfish","Poor:A+L","L_at_Amax","Match",8.5,9.1,8.1,9.5,10.1
"92","flatfish","Poor:A+L","L_at_Amax","No Match",NA,9.1,8,7.2,9.8
"93","flatfish","Poor:A+L","L_at_Amin","Match",17.5,18.2,19.5,22.4,25.9
"94","flatfish","Poor:A+L","L_at_Amin","No Match",NA,18,17.1,22.9,37
"95","flatfish","Poor:A+L","SSB_MSY","Match",37.2,37.5,38.8,37.2,37.9
"96","flatfish","Poor:A+L","SSB_MSY","No Match",NA,37.1,35.8,38.1,34.6
"97","flatfish","Poor:A+L","VonBert_K","Match",23.8,25.5,25,26.3,33.9
"98","flatfish","Poor:A+L","VonBert_K","No Match",NA,24.8,24.4,19.6,30.3
"99","flatfish","Poor:C+L","CV_old","Match",9.7,9.7,10.3,11.6,14.9
"100","flatfish","Poor:C+L","CV_old","No Match",NA,9.9,12.3,24.4,51.6
"101","flatfish","Poor:C+L","CV_young","Match",19.8,20.5,20.8,26.2,35.8
"102","flatfish","Poor:C+L","CV_young","No Match",NA,19.6,26.4,38.3,66.6
"103","flatfish","Poor:C+L","depletion","Match",26.2,26.4,27.6,28.1,28.6
"104","flatfish","Poor:C+L","depletion","No Match",NA,26.2,29.4,33.1,52.4
"105","flatfish","Poor:C+L","L_at_Amax","Match",3.2,3.3,3.2,3.2,3.9
"106","flatfish","Poor:C+L","L_at_Amax","No Match",NA,3.2,3,7.8,18.7
"107","flatfish","Poor:C+L","L_at_Amin","Match",11.6,12.3,13.6,16.8,21.1
"108","flatfish","Poor:C+L","L_at_Amin","No Match",NA,12.3,17.8,24.1,48.9
"109","flatfish","Poor:C+L","SSB_MSY","Match",28.2,28.5,30,31.6,35.9
"110","flatfish","Poor:C+L","SSB_MSY","No Match",NA,29.8,37.6,49.3,59.5
"111","flatfish","Poor:C+L","VonBert_K","Match",10,10,12.3,12.7,17.7
"112","flatfish","Poor:C+L","VonBert_K","No Match",NA,10.8,13,14.9,18.8
"113","yellow-long","Rich:A+L","CV_old","Match",6,6.1,6.1,6.9,14.6
"114","yellow-long","Rich:A+L","CV_old","No Match",NA,6,5.1,6.7,20.5
"115","yellow-long","Rich:A+L","CV_young","Match",8.1,8,8,9.3,15
"116","yellow-long","Rich:A+L","CV_young","No Match",NA,8.6,11.2,20.3,192.4
"117","yellow-long","Rich:A+L","depletion","Match",9.1,9,8.9,8.8,9.4
"118","yellow-long","Rich:A+L","depletion","No Match",NA,8.9,8.9,9.4,15.4
"119","yellow-long","Rich:A+L","L_at_Amax","Match",1.5,1.6,1.7,2.1,4.3
"120","yellow-long","Rich:A+L","L_at_Amax","No Match",NA,1.5,1.5,3,11.2
"121","yellow-long","Rich:A+L","L_at_Amin","Match",1.9,1.9,1.7,2,2.3
"122","yellow-long","Rich:A+L","L_at_Amin","No Match",NA,1.8,4.1,22.1,53.3
"123","yellow-long","Rich:A+L","SSB_MSY","Match",7.4,7.3,7.3,7.1,7.9
"124","yellow-long","Rich:A+L","SSB_MSY","No Match",NA,7.3,7.3,6.2,27.9
"125","yellow-long","Rich:A+L","VonBert_K","Match",3.6,3.8,4,4.4,10
"126","yellow-long","Rich:A+L","VonBert_K","No Match",NA,3.6,3.8,15.8,26.8
"127","yellow-long","Rich:C+L","CV_old","Match",1.6,1.6,1.6,2.9,10.7
"128","yellow-long","Rich:C+L","CV_old","No Match",NA,1.7,4.3,35.6,83.6
"129","yellow-long","Rich:C+L","CV_young","Match",2.1,2.9,9,14.8,3.8
"130","yellow-long","Rich:C+L","CV_young","No Match",NA,8.3,39.9,34.4,97.2
"131","yellow-long","Rich:C+L","depletion","Match",8.7,8.5,8.7,10.8,14.2
"132","yellow-long","Rich:C+L","depletion","No Match",NA,9.5,9.7,19.5,56.1
"133","yellow-long","Rich:C+L","L_at_Amax","Match",0.6,0.6,0.6,0.7,3.1
"134","yellow-long","Rich:C+L","L_at_Amax","No Match",NA,0.6,1.9,6.3,23.4
"135","yellow-long","Rich:C+L","L_at_Amin","Match",0.9,1.4,5.3,9.8,8.8
"136","yellow-long","Rich:C+L","L_at_Amin","No Match",NA,4.9,19,11.6,26.6
"137","yellow-long","Rich:C+L","SSB_MSY","Match",7.7,8.2,10.1,15.2,34.6
"138","yellow-long","Rich:C+L","SSB_MSY","No Match",NA,7.8,10.1,12.7,5.1
"139","yellow-long","Rich:C+L","VonBert_K","Match",1.8,1.8,2,2.5,4.9
"140","yellow-long","Rich:C+L","VonBert_K","No Match",NA,1.9,1.9,5.8,25.1
"141","yellow-long","Poor:A+L","CV_old","Match",28.9,30.3,29.5,33.2,32.8
"142","yellow-long","Poor:A+L","CV_old","No Match",NA,30.5,31.5,30.4,57.4
"143","yellow-long","Poor:A+L","CV_young","Match",49.4,50.7,55.1,58.3,66.1
"144","yellow-long","Poor:A+L","CV_young","No Match",NA,52.4,53.8,51.9,145.1
"145","yellow-long","Poor:A+L","depletion","Match",21,21.7,20.9,22.3,21.7
"146","yellow-long","Poor:A+L","depletion","No Match",NA,22.3,20.9,19.8,22.6
"147","yellow-long","Poor:A+L","L_at_Amax","Match",9.4,8.9,8.9,10.4,14.3
"148","yellow-long","Poor:A+L","L_at_Amax","No Match",NA,9.1,9.6,8.2,17
"149","yellow-long","Poor:A+L","L_at_Amin","Match",13.7,16.6,14.5,16.6,25.7
